triangle.transitivity,escalation,dci,steepness,slope,variable,strategy,distribution,,mean slope per scenario
0.166666667,0.500554939,0.34368071,-0.279808402,0.027240535,rhp,mutual,clumped,,0.014551843
0.958333333,0.499445061,0.515555556,-0.538735487,0.013641899,rhp,mutual,clumped,,
0.511111111,0.499445061,0.435555556,-0.459678322,0.012843089,rhp,mutual,clumped,,
0.911111111,0.5,0.466666667,-0.494294894,0.01670532,rhp,mutual,clumped,,
0.923076923,0.500554939,0.543237251,-0.576944355,0.013110221,rhp,mutual,clumped,,
0.853658537,0.499445061,0.395555556,-0.444129347,0.006530598,rhp,mutual,clumped,,
0.75,0.5,0.355555556,-0.404086371,0.015630661,rhp,mutual,clumped,,
0.587628866,0.5,0.404444444,-0.363835037,0.014231748,rhp,mutual,clumped,,
0.511111111,0.499445061,0.417777778,-0.399485381,0.011737267,rhp,mutual,clumped,,
0.74025974,0.5,0.333333333,-0.332119889,0.013847087,rhp,mutual,clumped,,
0.923076923,0.5,0.427937916,-0.480730601,0.019964782,rhp,self,clumped,,0.017423885
0.072463768,0.5,0.293333333,-0.284983181,0.022309786,rhp,self,clumped,,
0.821428571,0.499445061,0.435555556,-0.442372589,0.021474653,rhp,self,clumped,,
0.685393258,0.498891353,0.355555556,-0.420824433,0.025852985,rhp,self,clumped,,
0.628865979,0.499445061,0.386666667,-0.40631026,0.011309544,rhp,self,clumped,,
0.813953488,0.500554939,0.441241685,-0.468716122,0.009618152,rhp,self,clumped,,
0.884615385,0.5,0.422222222,-0.483269379,0.014884439,rhp,self,clumped,,
1,0.5,0.457777778,-0.517899062,0.013983445,rhp,self,clumped,,
0.347826087,0.5,0.36,-0.338499803,0.014464239,rhp,self,clumped,,
0.858823529,0.49944629,0.379157428,-0.381767003,0.020376821,rhp,self,clumped,,
0.711340206,0.5,0.528888889,-0.449188322,0.018227439,rhp,opponent,clumped,,0.012455508
0.604395604,0.5,0.511111111,-0.459534659,0.012000895,rhp,opponent,clumped,,
0.657142857,0.5,0.346666667,-0.353711562,0.006918601,rhp,opponent,clumped,,
0.730337079,0.5,0.502222222,-0.497879747,0.013689785,rhp,opponent,clumped,,
0.464285714,0.50055371,0.455752212,-0.392696321,0.012010756,rhp,opponent,clumped,,
0.771428571,0.500554939,0.476718404,-0.462765901,0.012189554,rhp,opponent,clumped,,
0.688888889,0.5,0.471111111,-0.458385508,0.01183627,rhp,opponent,clumped,,
0.642857143,0.5,0.488888889,-0.482567873,0.014443916,rhp,opponent,clumped,,
0.595959596,0.499445061,0.391111111,-0.373540448,0.009465313,rhp,opponent,clumped,,
0.820224719,0.5,0.453333333,-0.454630254,0.013772548,rhp,opponent,clumped,,
0.714285714,0.5,0.395555556,-0.400172376,0.005937976,history,mutual,clumped,,0.006722358
0.730769231,0.499445061,0.488888889,-0.528640933,0.009691068,history,mutual,clumped,,
0.807692308,0.5,0.4,-0.431023216,0.010128572,history,mutual,clumped,,
0.463414634,0.5,0.288888889,-0.235205565,0.009204604,history,mutual,clumped,,
0.743589744,0.499445061,0.351111111,-0.42305222,-0.001324877,history,mutual,clumped,,
0.948051948,0.500554939,0.370288248,-0.426638076,0.009118257,history,mutual,clumped,,
0.428571429,0.5,0.391111111,-0.398154418,0.00901831,history,mutual,clumped,,
0.619047619,0.499445061,0.386666667,-0.392770142,0.007187129,history,mutual,clumped,,
0.583333333,0.5,0.368888889,-0.403099898,0.004747617,history,mutual,clumped,,
0.47826087,0.5,0.346666667,-0.311342712,0.003514928,history,mutual,clumped,,
0.711340206,0.49833887,0.431111111,-0.428690232,0.008775493,history,self,clumped,,0.008485809
0.402985075,0.498891353,0.288888889,-0.250227571,0.006979022,history,self,clumped,,
0.846153846,0.499445061,0.466666667,-0.466379165,0.010285726,history,self,clumped,,
0.961538462,0.499445061,0.448888889,-0.487503853,0.004060186,history,self,clumped,,
0.848101266,0.500554939,0.383592018,-0.42679121,0.008853722,history,self,clumped,,
0.821428571,0.5,0.462222222,-0.501056132,0.008992824,history,self,clumped,,
0.463917526,0.5,0.431111111,-0.433375312,0.009354929,history,self,clumped,,
0.614457831,0.500554939,0.299334812,-0.261477285,0.010133876,history,self,clumped,,
0.466666667,0.499445061,0.346666667,-0.338690262,0.008015678,history,self,clumped,,
0.662650602,0.500554939,0.388026608,-0.452901839,0.009406633,history,self,clumped,,
1,0.5,0.493333333,-0.542574552,0.00803206,history,opponent,clumped,,0.00719208
0.614457831,0.499445061,0.346666667,-0.358778323,0.004764467,history,opponent,clumped,,
0.653846154,0.5,0.417777778,-0.428366642,0.009384298,history,opponent,clumped,,
0.670588235,0.5,0.36,-0.396483911,0.004875986,history,opponent,clumped,,
0.917525773,0.49944629,0.356984479,-0.396569278,0.010209677,history,opponent,clumped,,
0.571428571,0.5,0.408888889,-0.378674331,0.009533986,history,opponent,clumped,,
0.857142857,0.5,0.395555556,-0.459515829,0.007462397,history,opponent,clumped,,
0.794871795,0.498891353,0.453333333,-0.490349808,0.011315128,history,opponent,clumped,,
0.707317073,0.499445061,0.368888889,-0.383714772,0.001517631,history,opponent,clumped,,
0.730337079,0.5,0.386666667,-0.425806103,0.004825174,history,opponent,clumped,,
0.70212766,0.5,0.542222222,-0.45510731,6.85E-05,rhp,mutual,uniform,,0.000142379
0.75257732,0.5,0.52,-0.505941986,8.24E-05,rhp,mutual,uniform,,
0.365853659,0.5,0.408888889,-0.292105308,-0.000183626,rhp,mutual,uniform,,
0.333333333,0.5,0.328888889,-0.285544311,0.000282359,rhp,mutual,uniform,,
0.711340206,0.5,0.422222222,-0.392964551,-0.000157036,rhp,mutual,uniform,,
0.875,0.5,0.568888889,-0.525459818,0.000222192,rhp,mutual,uniform,,
0.903614458,0.5,0.515555556,-0.511588866,0.000602192,rhp,mutual,uniform,,
0.587628866,0.5,0.337777778,-0.360129307,0.000360666,rhp,mutual,uniform,,
0.890410959,0.5,0.333333333,-0.348829857,0.000270361,rhp,mutual,uniform,,
0.428571429,0.5,0.342222222,-0.319631554,-0.000124206,rhp,mutual,uniform,,
0.614457831,0.5,0.511111111,-0.428557869,0.000906483,rhp,self,uniform,,0.000452076
0.555555556,0.5,0.302222222,-0.280517098,0.000471493,rhp,self,uniform,,
0.958333333,0.5,0.453333333,-0.51377319,0.000712365,rhp,self,uniform,,
0.695238095,0.5,0.44,-0.465856555,0.000548952,rhp,self,uniform,,
0.943661972,0.5,0.395555556,-0.42419263,0.000172778,rhp,self,uniform,,
0.896103896,0.5,0.28,-0.337095129,0.000865514,rhp,self,uniform,,
0.711340206,0.5,0.413333333,-0.449801113,0.00017656,rhp,self,uniform,,
0.516483516,0.5,0.408888889,-0.388628397,0.000158932,rhp,self,uniform,,
0.730769231,0.5,0.466666667,-0.497285604,9.80E-05,rhp,self,uniform,,
0.75257732,0.5,0.408888889,-0.429782977,0.000409664,rhp,self,uniform,,
0.380952381,0.5,0.395555556,-0.362803217,1.96E-05,rhp,opponent,uniform,,-3.46971E-05
0.888888889,0.5,0.48,-0.458682691,0.000221894,rhp,opponent,uniform,,
0.542857143,0.5,0.466666667,-0.414107086,0.000123348,rhp,opponent,uniform,,
0.904761905,0.5,0.546666667,-0.530503164,1.60E-05,rhp,opponent,uniform,,
-0.010989011,0.5,0.271111111,-0.192191449,-0.000113752,rhp,opponent,uniform,,
0.807692308,0.5,0.444444444,-0.375464026,-0.000130536,rhp,opponent,uniform,,
0.526315789,0.5,0.457777778,-0.433278899,-0.000198932,rhp,opponent,uniform,,
0.846153846,0.5,0.484444444,-0.514353708,0.000109239,rhp,opponent,uniform,,
0.846153846,0.5,0.528888889,-0.513351905,-0.000391118,rhp,opponent,uniform,,
0.769230769,0.5,0.426666667,-0.433708171,-2.66E-06,rhp,opponent,uniform,,
0.961538462,0.5,0.417777778,-0.419523706,7.03E-06,history,mutual,uniform,,2.16202E-05
0.357142857,0.5,0.417777778,-0.368383558,-0.000453766,history,mutual,uniform,,
0.711340206,0.5,0.444444444,-0.397669612,-0.000104956,history,mutual,uniform,,
1,0.5,0.475555556,-0.499211131,1.66E-05,history,mutual,uniform,,
0.518072289,0.5,0.342222222,-0.334624327,0.000523347,history,mutual,uniform,,
0.958762887,0.5,0.413333333,-0.456533197,3.31E-05,history,mutual,uniform,,
0.730337079,0.5,0.413333333,-0.441850969,-0.000341019,history,mutual,uniform,,
0.753846154,0.5,0.364444444,-0.407775497,0.000304312,history,mutual,uniform,,
0.422680412,0.5,0.355555556,-0.341063432,0.000106862,history,mutual,uniform,,
0.276190476,0.5,0.293333333,-0.247675373,0.000124631,history,mutual,uniform,,
0.733333333,0.5,0.453333333,-0.492023765,-0.000152537,history,self,uniform,,-4.38511E-05
0.340206186,0.5,0.413333333,-0.428191275,-9.50E-05,history,self,uniform,,
1,0.5,0.4,-0.400697779,-0.000122357,history,self,uniform,,
0.771428571,0.5,0.457777778,-0.470588343,0.000324235,history,self,uniform,,
0.671232877,0.5,0.337777778,-0.337243565,-0.000233965,history,self,uniform,,
0.653846154,0.5,0.413333333,-0.418864399,0.000139344,history,self,uniform,,
0.892857143,0.5,0.484444444,-0.50473333,-0.00021632,history,self,uniform,,
0.580952381,0.5,0.382222222,-0.373407098,-0.00023791,history,self,uniform,,
0.291666667,0.5,0.333333333,-0.29925708,0.000265959,history,self,uniform,,
0.833333333,0.5,0.457777778,-0.492730443,-0.00010996,history,self,uniform,,
0.516483516,0.5,0.382222222,-0.388783523,-0.000191283,history,opponent,uniform,,-9.28228E-05
0.371428571,0.5,0.342222222,-0.299939117,-0.000333749,history,opponent,uniform,,
0.936507937,0.5,0.36,-0.378479534,-4.01E-05,history,opponent,uniform,,
0.626666667,0.5,0.333333333,-0.314811792,-0.000295266,history,opponent,uniform,,
0.526315789,0.5,0.382222222,-0.390154347,0.000334373,history,opponent,uniform,,
0.511111111,0.5,0.395555556,-0.380763159,9.24E-05,history,opponent,uniform,,
0.789473684,0.5,0.408888889,-0.39930082,2.04E-05,history,opponent,uniform,,
0.695238095,0.5,0.453333333,-0.498507032,0.000371184,history,opponent,uniform,,
0.422680412,0.5,0.315555556,-0.319704763,-0.000514037,history,opponent,uniform,,
0.488372093,0.5,0.453333333,-0.408285833,-0.000372182,history,opponent,uniform,,
