who, energy-over-distance, energy-over-time
2, 2.618759347624813, 0.7189644721662789
8, 2.620807519760735, 0.7196292747785621
5, 2.623716486023959, 0.7194532976164871
3, 2.6294050506491655, 0.7207046907690202
7, 2.6159533627186122, 0.7194728506344954
0, 2.6367017092183365, 0.7209002209491034
1, 2.655117883841288, 0.7222493791916782
4, 2.6209941603760147, 0.7196292747785621
9, 2.637007874015748, 0.7203136304088537
6, 2.6321469411092053, 0.7201181002287703
who, energy-over-distance, energy-over-time
7, 2.6281718569780854, 0.7198736301707968
4, 2.6261251530208107, 0.7200908283147398
3, 2.6204589597870656, 0.7192615263105934
0, 2.6225532527346, 0.7195774508836016
6, 2.6308080808080807, 0.7199723565998618
5, 2.610983488872936, 0.7181557903050647
9, 2.6175012572742293, 0.7193799980254714
1, 2.6420877611508713, 0.7216507058939678
8, 2.6250989992080065, 0.7199131207424228
2, 2.6478516049561627, 0.7215519794649028
