self, opp, fightsavoided
2, 5, 8
3, 9, 3
7, 3, 6
0, 6, 7
6, 1, 3
8, 2, 7
7, 2, 3
1, 4, 9
2, 3, 9
7, 8, 1
8, 7, 4
4, 3, 0
2, 6, 6
5, 6, 7
7, 9, 8
6, 9, 5
5, 0, 2
4, 0, 6
1, 0, 4
9, 0, 8
3, 1, 4
1, 8, 1
9, 1, 5
9, 3, 6
2, 4, 5
9, 7, 7
7, 6, 6
8, 6, 2
5, 9, 4
8, 1, 6
7, 1, 7
3, 0, 4
2, 1, 4
0, 8, 9
8, 9, 6
6, 8, 3
0, 7, 6
9, 5, 5
3, 8, 8
1, 7, 4
8, 4, 4
9, 2, 5
9, 4, 7
5, 3, 3
0, 9, 7
5, 1, 7
6, 0, 5
0, 2, 0
1, 3, 4
8, 3, 4
2, 8, 3
4, 2, 5
0, 3, 4
3, 7, 4
5, 4, 2
8, 0, 3
0, 4, 7
6, 2, 4
3, 2, 5
1, 6, 5
5, 8, 9
7, 5, 4
6, 4, 5
7, 4, 8
2, 9, 2
1, 2, 3
1, 9, 5
4, 7, 8
0, 5, 15
3, 4, 4
9, 8, 5
6, 5, 3
4, 5, 0
3, 6, 4
0, 1, 6
3, 5, 2
2, 0, 3
5, 7, 7
1, 5, 9
4, 1, 8
9, 6, 7
6, 3, 1
6, 7, 4
2, 7, 3
7, 0, 7
4, 9, 5
4, 8, 3
5, 2, 7
4, 6, 3
8, 5, 5
