variable,strategy,distribution,triangle.transitivity,escalation,dci,steepness,slope
rhp,mutual,clumped,0.472527473,0.499445061,0.404444444,-0.399019307,-0.019708
rhp,mutual,clumped,0.730337079,0.500554939,0.356984479,-0.401368881,-0.028801006
rhp,mutual,clumped,0.670103093,0.5,0.404444444,-0.419600704,-0.022239559
rhp,mutual,clumped,0.730769231,0.5,0.417777778,-0.496225081,-0.022068787
rhp,mutual,clumped,0.72972973,0.5,0.44,-0.447500666,-0.024451852
rhp,mutual,clumped,0.457627119,0.5,0.413333333,-0.41580634,-0.025378674
rhp,mutual,clumped,0.423076923,0.500554939,0.490022173,-0.454184788,-0.021906895
rhp,mutual,clumped,0.583333333,0.5,0.4,-0.417190629,-0.027065313
rhp,mutual,clumped,0.844155844,0.5,0.36,-0.419496433,-0.028209832
rhp,mutual,clumped,0.285714286,0.5,0.462222222,-0.419527127,-0.0285613
rhp,self,clumped,0.714285714,0.499445061,0.488888889,-0.507344745,-0.025035147
rhp,self,clumped,0.628865979,0.5,0.435555556,-0.438357099,-0.025818505
rhp,self,clumped,0.833333333,0.5,0.528888889,-0.526651596,-0.025063939
rhp,self,clumped,0.916666667,0.5,0.662222222,-0.605896437,-0.025975974
rhp,self,clumped,0.623529412,0.5,0.497777778,-0.493200537,-0.025986376
rhp,self,clumped,0.340659341,0.500554939,0.54767184,-0.446701283,-0.026866053
rhp,self,clumped,0.6,0.5,0.555555556,-0.503932291,-0.027547597
rhp,self,clumped,0.485714286,0.5,0.271111111,-0.226380438,-0.039763453
rhp,self,clumped,0.546391753,0.5,0.457777778,-0.378168424,-0.024577403
rhp,self,clumped,0.954545455,0.5,0.644444444,-0.613659427,-0.031234448
rhp,opponent,clumped,0.505154639,0.499445061,0.404444444,-0.427340855,-0.020790196
rhp,opponent,clumped,0.951219512,0.5,0.426666667,-0.521608336,-0.019971301
rhp,opponent,clumped,0.75257732,0.5,0.457777778,-0.454622598,-0.020057321
rhp,opponent,clumped,0.653846154,0.5,0.391111111,-0.4467963,-0.025226301
rhp,opponent,clumped,0.619047619,0.500554939,0.405764967,-0.434022181,-0.018135184
rhp,opponent,clumped,0.904761905,0.5,0.471111111,-0.495585697,-0.021441532
rhp,opponent,clumped,0.793814433,0.5,0.431111111,-0.535687373,-0.019581392
rhp,opponent,clumped,0.642857143,0.5,0.524444444,-0.518816785,-0.019223174
rhp,opponent,clumped,0.555555556,0.500554939,0.534368071,-0.535254018,-0.019640519
rhp,opponent,clumped,0.583333333,0.5,0.426666667,-0.486220539,-0.023447711
history,mutual,clumped,0.173913043,0.499445061,0.408888889,-0.283372038,-0.026648987
history,mutual,clumped,0.576923077,0.5,0.373333333,-0.347547129,-0.019718668
history,mutual,clumped,0.333333333,0.5,0.368888889,-0.301443558,-0.014376568
history,mutual,clumped,-0.022222222,0.500554939,0.34368071,-0.193168623,-0.031979987
history,mutual,clumped,0.8125,0.5,0.333333333,-0.317783784,-0.023962464
history,mutual,clumped,0.535714286,0.5,0.333333333,-0.34237388,-0.01940838
history,mutual,clumped,0.257731959,0.500554939,0.294900222,-0.274721181,-0.025356551
history,mutual,clumped,0.298969072,0.5,0.346666667,-0.327889126,-0.017167047
history,mutual,clumped,0.208333333,0.500554939,0.34368071,-0.319561162,-0.022030745
history,mutual,clumped,0.526315789,0.5,0.351111111,-0.293517674,-0.025295195
history,self,clumped,0.269230769,0.499445061,0.346666667,-0.283962781,-0.025754917
history,self,clumped,0.658536585,0.500554939,0.352549889,-0.327168036,-0.018844225
history,self,clumped,0.346938776,0.5,0.355555556,-0.273530047,-0.019371824
history,self,clumped,-0.170731707,0.500554939,0.290465632,-0.172596033,-0.033593789
history,self,clumped,0.168831169,0.5,0.275555556,-0.188716829,-0.023260867
history,self,clumped,0,0.5,0.302222222,-0.164287215,-0.037465225
history,self,clumped,0.504761905,0.5,0.368888889,-0.281552592,-0.016136215
history,self,clumped,0.012987013,0.5,0.288888889,-0.214061317,-0.014442798
history,self,clumped,0.571428571,0.5,0.36,-0.283237014,-0.018630059
history,self,clumped,0.06122449,0.5,0.364444444,-0.261235348,-0.030122097
history,opponent,clumped,0.636363636,0.5,0.370288248,-0.324746367,-0.015925727
history,opponent,clumped,0.041666667,0.5,0.32,-0.249502246,-0.031362153
history,opponent,clumped,-0.054945055,0.5,0.297777778,-0.212857019,-0.031304697
history,opponent,clumped,0.288888889,0.5,0.297777778,-0.228168195,-0.023870963
history,opponent,clumped,0.628865979,0.5,0.386666667,-0.365444783,-0.016264256
history,opponent,clumped,0.346153846,0.5,0.346666667,-0.255322821,-0.030498333
history,opponent,clumped,0.866666667,0.5,0.404444444,-0.376655641,-0.015644867
history,opponent,clumped,0.307692308,0.5,0.36,-0.306249588,-0.022708383
history,opponent,clumped,0.216494845,0.5,0.346666667,-0.221639619,-0.033573906
history,opponent,clumped,0.578947368,0.5,0.364444444,-0.343282819,-0.015602718
rhp,mutual,uniform,0.05,0.5,0.302222222,-0.212373161,-0.000847721
rhp,mutual,uniform,-0.12,0.5,0.311111111,-0.145790011,0.000601075
rhp,mutual,uniform,0.192307692,0.5,0.355555556,-0.301912034,-0.000311264
rhp,mutual,uniform,0.324675325,0.5,0.302222222,-0.209545035,0.000171286
rhp,mutual,uniform,0.463917526,0.5,0.4,-0.327812844,-0.000641927
rhp,mutual,uniform,0.066666667,0.5,0.346666667,-0.259870972,-0.000705077
rhp,mutual,uniform,0.287671233,0.5,0.311111111,-0.310969469,-0.00067346
rhp,mutual,uniform,0.238095238,0.5,0.328888889,-0.180445432,-0.00043119
rhp,mutual,uniform,0.012987013,0.5,0.28,-0.140804338,0.000642893
rhp,mutual,uniform,-0.2,0.5,0.262222222,-0.080838908,-0.00209446
rhp,self,uniform,0.373493976,0.5,0.333333333,-0.365588738,-0.000663354
rhp,self,uniform,0.466666667,0.5,0.395555556,-0.395380844,-0.000182904
rhp,self,uniform,0.631578947,0.5,0.373333333,-0.417225258,-0.000854427
rhp,self,uniform,0.826086957,0.5,0.364444444,-0.390090111,-0.000283166
rhp,self,uniform,0.923076923,0.5,0.426666667,-0.490097199,-0.000176755
rhp,self,uniform,0.101123596,0.5,0.248888889,-0.189045784,-0.00078788
rhp,self,uniform,0.257731959,0.5,0.333333333,-0.252748589,-0.000685451
rhp,self,uniform,0.685393258,0.5,0.44,-0.473779407,-0.000567216
rhp,self,uniform,0.5,0.5,0.351111111,-0.371288753,-0.000538523
rhp,self,uniform,0.456790123,0.5,0.315555556,-0.343361232,-0.000503722
rhp,opponent,uniform,0.325301205,0.5,0.368888889,-0.406998281,0.000177054
rhp,opponent,uniform,0.13253012,0.5,0.275555556,-0.219966835,-0.000459187
rhp,opponent,uniform,0.213114754,0.5,0.248888889,-0.20737966,-0.000595612
rhp,opponent,uniform,0.022222222,0.5,0.315555556,-0.217552531,-0.000133273
rhp,opponent,uniform,-0.235294118,0.5,0.24,-0.133936375,-0.00056152
rhp,opponent,uniform,-0.108433735,0.5,0.275555556,-0.121206495,0.000300936
rhp,opponent,uniform,0.636363636,0.5,0.395555556,-0.466451755,-0.000293535
rhp,opponent,uniform,0.730337079,0.5,0.44,-0.480725707,2.54E-05
rhp,opponent,uniform,0.658536585,0.5,0.453333333,-0.494799079,0.000134753
rhp,opponent,uniform,0.37254902,0.5,0.217777778,-0.204381206,0.000371378
history,mutual,uniform,0.174603175,0.5,0.293333333,-0.215864612,-0.000395647
history,mutual,uniform,0.219512195,0.500554939,0.281596452,-0.237712523,0.000129585
history,mutual,uniform,-0.317073171,0.5,0.288888889,-0.162461938,0.000277847
history,mutual,uniform,-0.125,0.5,0.222222222,-0.099784541,-0.000265741
history,mutual,uniform,-0.028571429,0.5,0.262222222,-0.145798145,-9.81E-05
history,mutual,uniform,0.267605634,0.5,0.288888889,-0.23066471,-0.000135188
history,mutual,uniform,0.051546392,0.5,0.328888889,-0.213065085,-0.000475499
history,mutual,uniform,-0.26984127,0.5,0.271111111,-0.113417213,-0.00042655
history,mutual,uniform,0.058823529,0.5,0.248888889,-0.150016836,-0.000380327
history,mutual,uniform,0.333333333,0.5,0.266666667,-0.215328958,-0.000306607
history,self,uniform,0.095238095,0.5,0.257777778,-0.138581684,0.000467568
history,self,uniform,-0.166666667,0.5,0.275555556,-0.140494508,-0.000365522
history,self,uniform,0.090909091,0.5,0.244444444,-0.15470718,-0.00098458
history,self,uniform,0.246376812,0.5,0.217777778,-0.158782007,-0.000315776
history,self,uniform,0,0.5,0.293333333,-0.12217153,0.000485402
history,self,uniform,-0.095238095,0.5,0.262222222,-0.168919965,0.000110046
history,self,uniform,-0.095238095,0.5,0.32,-0.18598239,-0.000831281
history,self,uniform,-0.444444444,0.5,0.266666667,-0.06772879,-7.59E-05
history,self,uniform,0,0.5,0.266666667,-0.171987991,-0.001159954
history,self,uniform,-0.150684932,0.500554939,0.268292683,-0.080012711,-0.001871253
history,opponent,uniform,-0.2,0.5,0.311111111,-0.141468356,-0.000363247
history,opponent,uniform,-0.3125,0.5,0.257777778,-0.120481916,-0.000827849
history,opponent,uniform,0.142857143,0.5,0.288888889,-0.187316678,0.000498571
history,opponent,uniform,-0.098901099,0.5,0.24,-0.110084154,0.000163845
history,opponent,uniform,-0.194029851,0.5,0.231111111,-0.13200619,-0.001392749
history,opponent,uniform,-0.095238095,0.5,0.266666667,-0.145907123,-0.000695301
history,opponent,uniform,0.142857143,0.5,0.306666667,-0.173049711,-0.000708791
history,opponent,uniform,-0.220338983,0.5,0.213333333,-0.144952045,-0.000407911
history,opponent,uniform,-0.014084507,0.5,0.257777778,-0.181803827,-0.000499833
history,opponent,uniform,0.111111111,0.5,0.293333333,-0.174465799,8.99E-05
